id,name,streetaddress,latlng,postal,province,lic_status,citytown,lic_number,distance,tool_tip_id,lic_first_issue,lic_conditions,applicant_legal_name,app_streetaddress,app_streetaddress2,app_unitnumber,app_citytown,app_prov,app_postal,app_pci,phone,fax,website,email,primary_contact,management,lic_other_information,careservices,capacity,sprinklers_all,sprinklers_nsuites,sprinklers_locations,lic_conditions_details,documents,show_reports,revoked_w_notes,previously_known_as
6107de6774b73,Princess Gardens Retirement Residence,100 Charlotte Street,"44.3042661,-78.317542",K9J 7L4,null,Issued,Peterborough,T0006,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5917bfc,Retirement Suites by the Lake,2121 Kingston Road,"43.7005755,-79.2542332",M1N 1T5,null,Issued,Toronto,T0180,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de4f4b1dd,Pioneer Elder Care,180A Lakeshore Road,"43.208017,-79.2355969",L2N 2V3,null,Issued,St. Catharines,S0007,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6723ff7,Parkland on the Glen,1665 The Collegeway,"43.5438776,-79.6640248",L5L 0A9,null,Issued,Mississauga,T0444,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6579a63,Parkview Meadows Christian Retirement Village - Southview,72 Town Centre Drive,"42.8883571,-80.1408085",N0A 1S0,null,Issued,Townsend,S0139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5e13d7a,Parkwood Suites,720 New Hampshire Street,"43.5157359,-80.501891",N2K 0A3,null,Issued,Waterloo,T0042,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5a51094,Pathways Retirement Residence,375 Trunk Road,"46.516711,-84.2844608",P6A 6T5,null,Issued,Sault Ste. Marie,N0148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de542805d,Pearl and Pine Retirement Residence,390 Pearl Street,"43.3262256,-79.7945198",L7R 0A4,null,Issued,Burlington,S0352,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6968ab8,Penmarvian Retirement Home,185 Grand River Street  N.,"43.1989283,-80.3840019",N3L 2N2,null,Issued,Paris,S0222,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5b64439,Pension du Bonheur,176 St. Joseph Street,"45.560876,-74.876758",K0B 1A0,null,Issued,Alfred,N0240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de52d9c6d,Peterborough Retirement Residence,1039 Water Street,"44.329162,-78.3162413",K9H 3P5,null,Issued,Peterborough,T0393,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5fa6b8e,Pine Villa Retirement,120 Pine Street,"44.4997948,-80.2190165",L9Y 2N9,null,Issued,Collingwood,N0139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de4f9898f,Pioneer Elder Care,29 St. Helena Street,"43.179485,-79.2589172",L2N 3Z9,null,Issued,St. Catharines,S0402,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5d590b3,Prince of Wales Manor,22 Barnstone Drive,"45.2718473,-75.7067063",K2G 2P9,null,Issued,Ottawa,N0398,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de64ddedb,Pioneer Elder Care,473 Vine Street,"43.1946779,-79.2315019",L2M 3S9,null,Issued,St. Catharines,S0356,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5769b9b,Place Mont Roc Residence Inc.,100 Industrial Boulevard,"45.5988796,-74.6142518",K6A 3M8,null,Issued,Hawkesbury,N0268,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de687c453,Pleasant Valley Rest Home,511 Queensville Side Road,"44.131273,-79.480192",L9N 0G1,null,Issued,Holland Landing,T0455,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de556d615,Plymouth Cordage,110 First Street,"42.9835943,-79.2455728",L3B 4S2,null,Issued,Welland,S0523,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de574b4e5,Port Credit Residences,33 Hurontario Street,"43.5567492,-79.5834093",L5G 3E8,null,Issued,Mississauga,T0057,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5a2d1a1,Port Perry Villa Retirement Living,15987 Simcoe Street,"44.112332,-78.950543",L9L 1N5,null,Issued,Port Perry,N0396,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de64cfdb8,Portal Village Retirement Home,300 Elgin Street,"42.887482,-79.261937",L3K 6A3,null,Issued,Port Colborne,S0090,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de61b2133,Portobello Manor,691 Valin Street,"45.474996,-75.470778",K4A 0G3,null,Issued,Orleans,N0397,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de667edaa,Presentation Manor For Seniors,61 Fairfax Crescent,"43.7156197,-79.2844891",M1L 1Z7,null,Issued,Scarborough,T0538,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6529726,Résidence St. Mathieu,3140 Chemin Gendron,"45.4400558,-75.2404364",K0A 2A0,null,Issued,Hammond,N0526,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de51d5b3f,Richmond Care Home,27 Nixon Farm Drive,"45.1934284,-75.8440011",K0A 2Z0,null,Issued,Richmond,N0163,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
